,Angle (degrees),Ion Energy (V)
0,-84.82233502538071,8.503937007874015
1,-79.94923857868021,9.921259842519646
2,-74.77157360406092,12.75590551181108
3,-70.20304568527919,17.00787401574803
4,-65.0253807106599,19.13385826771656
5,-59.84771573604061,24.803149606299257
6,-54.9746192893401,36.14173228346459
7,-49.79695431472081,45.354330708661394
8,-44.61928934010152,58.81889763779526
9,-40.05076142131978,85.03937007874018
10,-35.17766497461929,106.29921259842524
11,-29.999999999999982,126.1417322834646
12,-24.82233502538071,151.65354330708666
13,-19.949238578680195,177.1653543307087
14,-15.380710659898469,221.8110236220473
15,-9.898477157360404,226.77165354330717
16,9.593908629441644,226.77165354330717
17,14.77157360406092,221.8110236220473
18,19.949238578680223,177.1653543307087
19,25.126903553299517,151.65354330708666
20,30.00000000000003,126.1417322834646
21,35.17766497461932,105.59055118110236
22,39.74619289340103,84.33070866141736
23,44.92385786802035,58.11023622047247
24,50.10152284263961,45.354330708661394
25,54.974619289340126,36.14173228346459
26,60.15228426395939,25.511811023622045
27,64.72081218274113,19.13385826771656
28,69.89847715736042,17.00787401574803
29,75.07614213197974,12.75590551181108
30,79.94923857868022,9.921259842519646
31,85.12690355329951,8.503937007874015
32,89.69543147208125,8.503937007874015
