,Angle (degrees),Ion Energy (V)
0,-84.69613259668509,49.15100761449446
1,-79.72375690607734,56.135129573050165
2,-74.75138121546962,80.91294780667732
3,-70.11049723756906,91.76383985815836
4,-64.80662983425415,105.7121372825278
5,-59.83425414364641,125.84812170526686
6,-54.86187845303868,152.17321787585686
7,-49.55801104972376,173.85790498504016
8,-44.9171270718232,190.12426981589076
9,-39.94475138121547,200.20294764837183
10,-34.97237569060775,209.5079865123716
11,-30.0,214.94483053396448
12,-24.69613259668509,219.60946033655756
13,-19.72375690607734,227.36722126359453
14,-15.082872928176798,228.93444569329893
15,-9.779005524861889,226.63632477955963
16,9.779005524861873,226.72038499897104
17,14.751381215469609,229.0626731466384
18,20.05524861878452,227.53819120138047
19,25.027624309392262,219.82317275878995
20,30.331491712707177,215.2041349396065
21,35.303867403314925,209.8100334024601
22,39.944751381215454,200.5463122734253
23,44.9171270718232,191.284015893872
24,50.22099447513811,174.28675457898655
25,55.19337016574583,152.6462347037313
26,60.16574585635361,126.36388101758776
27,64.80662983425414,106.26921432981368
28,70.11049723756905,92.36650888885372
29,75.0828729281768,81.5569345723377
30,80.05524861878452,56.821858823157015
31,85.02762430939224,49.10684038056644
32,89.66850828729282,42.16403615697578
