,Angle (degrees),Electron Density (m^-3)
0,0.2690616882479801,3802300211561397.0
1,1.7976294726500228,3849903627668001.0
2,3.3249917619539677,3763080639466122.5
3,4.85150311354159,3587816994901317.0
4,8.146774576611797,2910965933298189.0
5,11.863088073000933,2127576544449332.0
6,13.234781943827016,1913069230337361.2
7,14.454016140480505,1738117203642465.2
8,15.825975929342938,1575076710880802.5
9,17.35057267106886,1419949576657810.0
10,18.87644581936925,1328784331920921.8
11,20.40217714471693,1238325804927291.2
12,21.926915709395573,1121004322241008.2
13,23.45243430031416,1038211856728655.2
14,24.978520183043628,977618221439563.6
15,26.50311692476956,881333950325370.5
16,28.0278554894482,797834595484741.5
17,29.553657726272235,745064488480341.6
18,31.07981452047805,703036289964462.6
19,32.60582949173117,660633315028281.4
20,34.13141899412612,613111897756594.9
21,35.503733340370346,561390778490945.0
22,36.87576404070914,509786701605650.9
23,38.400715339816855,464368330356922.2
24,39.92623393073546,430072120954938.4
25,41.4516816101777,397483780904912.5
26,42.977200201096295,368127371148613.1
27,44.50342790677847,348082800355740.0
28,46.02908832064979,323714693794952.75
29,47.55425235418659,296714131979884.8
30,48.92541438893997,262681450773771.7
31,50.29732099419513,237671236856271.28
32,51.82291049659008,220574802626880.7
33,53.34949275965407,210738183766456.3
34,54.87692596043436,206413204078008.3
35,56.40308275464021,194769681602547.5
36,57.92923954884604,183782956332682.7
37,59.45695639553176,181510510736711.75
38,60.9831131897376,171271719469769.8
39,62.50905724951434,160608235042944.72
40,64.03656136177099,157638621276067.38
41,65.56427820845673,155689446021615.22
42,67.09199505514246,153764371994018.6
43,68.61829367230101,145693692170327.9
44,70.14395408617233,135494166619474.2
45,71.66947267709092,125487161388181.16
46,73.19619676310764,120389269808669.95
47,74.72355905241156,117674252197031.12
48,76.2498576695701,111497846046122.88
49,77.77530534901234,103049193960215.64
50,79.30124940878909,96633286661604.92
51,80.82776076037672,92132638488146.9
52,82.35554851853882,91182318298666.16
53,83.88191804717373,86575744745414.77
54,85.40779119547412,81017308665894.98
55,86.93345160934543,75345559275172.28
56,88.4606011642203,73189638217991.4
57,89.98874347976418,73189638217991.4
58,91.51688579530808,73189638217991.4
59,93.04410626165932,71242986320307.39
60,94.56969576405425,66118255847906.91
61,96.09684531892913,64226362796506.52
62,97.62449125413848,63300814463684.36
63,99.15178263196604,61745084446485.44
64,100.06810072948151,60729231160175.11
