Background pressure (Torr),Total flow rate (mg/s),Cathode flow fraction,Discharge voltage (V),Discharge current (A), Discharge current absolute uncertainty (A), Thrust (mN),Thrust absolute uncertainty (mN)
2.00E-06,5.3,0.07,300,4.5,0.1,84.60625,2.403495966
2.00E-08,5.3,0.07,310,4.6,0.1,83.28333333,3.220972938
