,Angle (degrees),Electron Temperature (eV)
0,-3.0346856740292587,1.5795574157722432
1,-1.587031895349,1.5933101266697056
2,-0.1393781166687411,1.600548395563107
3,1.3082756620115177,1.600548395563107
4,2.7559294406917765,1.5991007417844267
5,4.203583219372039,1.5918624728910256
6,5.651236998052294,1.583176550218944
7,7.098890776732556,1.5759382813255425
8,8.546544555412812,1.567252358653461
9,9.994198334093074,1.5592902628707197
10,11.44185211277333,1.5571187822026993
11,12.889505891453592,1.549880513309298
12,14.337159670133849,1.5484328595306178
13,15.78481344881411,1.549880513309298
14,17.232467227494364,1.549880513309298
15,18.680121006174627,1.549880513309298
16,20.12777478485488,1.5455375519732573
17,21.575428563535144,1.5426422444158967
18,23.0230823422154,1.5426422444158967
19,24.470736120895666,1.5419184175265566
20,25.918389899575924,1.5426422444158967
21,27.36604367825618,1.5426422444158967
22,28.81369745693644,1.5375754561905155
23,30.261351235616697,1.5325086679651347
24,31.70900501429696,1.531061014186455
25,33.15665879297721,1.528165706629094
26,34.60431257165747,1.528165706629094
27,36.051966350337736,1.528165706629094
28,37.499620129017984,1.528165706629094
29,38.947273907698246,1.528165706629094
30,40.39492768637851,1.528165706629094
31,41.84258146505877,1.528165706629094
32,43.29023524373902,1.528165706629094
33,44.73788902241928,1.531061014186455
34,46.18554280109954,1.5426422444158967
35,47.633196579779806,1.555671128424019
36,49.08085035846007,1.5679761855428012
37,50.52850413714032,1.580281242661583
38,51.97615791582058,1.5918624728910256
39,53.42381169450084,1.6041675300098075
40,54.871465473181104,1.6164725871285897
41,56.31911925186135,1.628053817358032
42,57.766773030541614,1.6367397400301134
43,59.21442680922188,1.6367397400301134
44,60.66208058790214,1.6323967786940727
45,62.10973436658239,1.6251585098006711
46,63.55738814526265,1.6164725871285897
47,65.00504192394291,1.6077866644565082
48,66.45269570262317,1.5962054342270662
49,67.90034948130342,1.5824527233296035
50,69.34800325998368,1.5665285317641209
51,70.79565703866395,1.5542234746453387
52,72.24331081734421,1.5455375519732573
53,73.69096459602447,1.5325086679651347
54,75.13861837470472,1.5209274377356927
55,76.58627215338498,1.5093462075062507
56,78.03392593206524,1.4999364579448289
57,79.4815797107455,1.497764977276809
58,80.92923348942576,1.4905267083834073
59,82.37688726810602,1.4847360932686862
60,83.82454104678628,1.4847360932686862
61,85.27219482546654,1.4818407857113256
62,86.71984860414679,1.477497824375285
63,88.16750238282705,1.4688119017032035
64,89.61515616150731,1.4579544983631016
65,91.06280994018758,1.4507162294697002
66,92.51046371886784,1.4449256143549791
67,93.95811749754807,1.4232108076747751
68,95.40577127622836,1.4080104429986326
69,96.8534250549086,1.4007721741052312
70,98.30107883358887,1.383400328761068
71,99.45920185653308,1.366511034676465
