z(m),"ui_z(1,1) (m/s)"
0.009,-999.4516738
0.013,-876.0782806
0.017,9.58157624
0.019,1816.090265
0.021,4986.065731
0.022,7473.544674
0.023,10161.304
0.024,10924.43839
0.025,12689.90741
0.026,13251.99828
0.027,14014.96309
0.028,14777.92789
0.029,15340.01877
0.031,16184.0454
0.035,17269.98564
0.039,17794.42855
0.043,18158.86762
0.047,18242.30365
0.051,18365.67704
0.055,18369.06875
0.065,18657.87272
0.075,18745.97235
