,Angle,Current Density
0,-90.0,0.014786419175034024
1,-84.91694352159469,0.016774807080578543
2,-79.83388704318938,0.018323722186234685
3,-75.17441860465117,0.022572354617816762
4,-69.98338870431894,0.024639314155758138
5,-65.0,0.02551815758602911
6,-59.808970099667775,0.02809999486144501
7,-55.033222591362126,0.03094305333569763
8,-50.049833887043185,0.036547821204043776
9,-44.85880398671096,0.04095705931897277
10,-40.2906976744186,0.05143554171064993
11,-35.307308970099655,0.06291907713504061
12,-29.908637873754145,0.08041318149866128
13,-24.925249169435205,0.1102334872074979
14,-19.73421926910298,0.15111231113431195
15,-14.750830564784039,0.20355219928501508
16,-9.767441860465098,0.3535101000932758
17,-9.767441860465098,0.43624054515006366
18,-4.784053156146172,0.6139427198866814
19,-4.784053156146172,0.7576210884600212
20,0.40697674418606766,1.0028076907835068
21,5.390365448504994,0.7576210884600212
22,5.390365448504994,0.6085870107442612
23,10.373754152823935,0.43624054515006366
24,10.373754152823935,0.3535101000932758
25,15.357142857142875,0.20355219928501508
26,20.34053156146183,0.15111231113431195
27,25.323920265780757,0.1102334872074979
28,30.514950166112982,0.08041318149866128
29,35.498338870431894,0.06237020463321017
30,40.48172757475086,0.050986845452738606
31,45.465116279069804,0.040599771757876296
32,50.448504983388716,0.036547821204043776
33,55.431893687707685,0.03067312262673022
34,60.415282392026626,0.028347281439575128
35,65.39867109634554,0.02551815758602911
36,70.38205980066448,0.024424373908382455
37,75.57308970099672,0.022572354617816762
38,80.55647840531566,0.018291640767917172
39,85.53986710963457,0.01661099846901331
40,90.73089700996681,0.014693433361500209
