,Angle (degrees),Electron Temperature (eV)
0,-3.324216429765311,2.3569474949235425
1,-1.8765626510850524,2.388795878054508
2,-0.4289088724047936,2.4119583385133923
3,1.0187449062754652,2.439463760308317
4,2.466398684955724,2.460454740099181
5,3.914052463635983,2.4619023938778613
6,5.361706242316242,2.45683560565248
7,6.809360020996504,2.437292279640297
8,8.112248421808733,2.4085201607890268
9,9.270371444752945,2.37232881632202
10,10.573259845565172,2.339575649579379
11,12.020913624245434,2.3113464008951143
12,13.468567402925697,2.283117152210849
13,14.916221181605952,2.257783211083945
14,16.363874960286214,2.241859019518462
15,17.81152873896647,2.2317254430677
16,19.25918251764673,2.2237633472849585
17,20.706836296326987,2.2129059439448566
18,22.15449007500725,2.2020485406047547
19,23.602143853687505,2.194086444822013
20,25.049797632367767,2.1897434834859726
21,26.497451411048026,2.17671459947785
22,27.945105189728285,2.1680286768057684
23,29.39275896840854,2.164409542359068
24,30.8404127470888,2.1571712734656665
25,32.288066525769054,2.148485350793585
26,33.73572030444932,2.137627947453483
27,35.18337408312958,2.1289420247814017
28,36.63102786180984,2.1289420247814017
29,38.07868164049009,2.1289420247814017
30,39.52633541917035,2.134732639896123
31,40.97398919785061,2.1405232550108435
32,42.42164297653088,2.148485350793585
33,43.86929675521112,2.1607904079123674
34,45.31695053389139,2.173819291920489
35,46.76460431257165,2.1926387910433327
36,48.21225809125191,2.2056676750514552
37,49.65991186993216,2.216525078391557
38,51.10756564861242,2.2114582901661763
39,52.55521942729269,2.2020485406047547
40,54.00287320597295,2.186124349039272
41,55.4505269846532,2.162961888580388
42,56.89818076333346,2.1318373323387623
43,58.34583454201372,2.0985412954291163
44,59.79348832069398,2.0674167391874905
45,61.09637672150622,2.031225394720484
46,62.25449974445041,1.9977484010885032
47,63.2678573895266,1.9600490839353717
48,64.13644965673475,1.9214449831705644
49,65.14980730181094,1.8837456660174328
50,66.30793032475515,1.852078239608802
51,67.46605334769936,1.817696462365146
52,68.62417637064355,1.7824099015098145
53,69.92706477145579,1.746761427209813
54,71.37471855013605,1.7293895818656502
55,72.82237232881631,1.7149130440788476
56,74.27002610749656,1.6989888525133643
57,75.71767988617682,1.6823408340585415
58,77.16533366485709,1.6664166424930589
59,78.61298744353735,1.650492450927576
60,80.0606412222176,1.640358874476814
61,81.50829500089786,1.6512162778169162
62,82.95594877957812,1.6526639315955962
63,84.40360255825838,1.6410827013661542
64,85.85125633693865,1.650492450927576
65,87.2989101156189,1.6678642962717392
66,88.74656389429916,1.6649689887143786
67,90.19421767297942,1.661349854267678
68,91.64187145165968,1.6722072576077798
69,93.08952523033992,1.6772740458331608
70,94.5371790090202,1.6722072576077798
71,95.98483278770046,1.6642451618250385
72,97.43248656638072,1.646873316480875
73,98.59060958932491,1.6077866644565082
74,99.45920185653308,1.5764208325851026
