,Angle (degrees),Electron Density (m^-3)
0,-3.0910786190396,4004615255429714.0
1,-1.5629363034957038,4004615255429714.0
2,-0.0347939879518151,4004615255429714.0
3,1.3408886534194835,4046352149153693.0
4,3.3272609291974646,4021258102294581.0
5,4.854694129977759,3938729823348679.0
6,6.226955292614719,3600860445885888.0
7,7.598826442131703,3254641984446538.0
8,9.123352272381268,2928018788955562.5
9,10.495382972720058,2658869895714015.0
10,11.71390805460996,2366135987505637.0
11,13.08616921724692,2163165758790850.5
12,14.612467834405464,2049626985026992.5
13,16.13763186794226,1878670642396136.8
14,17.662512255573624,1707749489975501.2
15,19.18845631535037,1601423938111770.5
16,20.56135568127457,1491631673427937.0
17,21.933226830791558,1348213057025164.5
18,23.458674510233784,1246053387933699.5
19,24.984689481486896,1170898845654859.5
20,26.51042080683457,1091188555360143.8
21,28.036010309229525,1012695955181266.8
22,29.56188345752992,947677678394668.0
23,31.087685694353937,884996700686266.2
24,32.613417019701615,824749528880310.0
25,34.139006522096565,765422719869970.8
26,35.66452511301516,708891952878350.1
27,37.190398261315565,663378851963683.2
28,38.7169096129032,632482305633263.4
29,40.24342096449081,603024750872023.0
30,41.76879773245669,556176562639085.2
31,43.14098798361728,507413720919207.75
32,44.35951306550719,451548933460945.8
33,45.73246561503865,421245750932886.8
34,47.259260612531705,404971624292089.44
35,48.785133760832096,378971167763920.4
36,50.31065235175069,350982018467378.6
37,51.83602911971657,323714693794952.75
38,53.36239864835147,307360475399778.25
39,54.89004458356085,302931188683309.2
40,56.41605955481397,284660177948181.44
41,57.94235817197252,269719128048377.88
42,59.469862284229166,264732075948413.72
43,60.998004599773054,264732075948413.72
44,62.525792357935146,262001444972189.28
45,64.05202006361733,247735441074696.9
46,65.57888597258676,238658978685857.3
47,67.10695737665428,238164595712969.5
48,68.63361055119462,228015888981173.1
49,70.16005099130591,216945823249260.47
50,71.68762601503892,213376549201379.5
51,73.21449192400834,205558918364688.88
52,74.74071962969053,194366215473808.88
53,76.26630913208548,180384846658561.56
54,77.79225319186223,169153973230456.38
55,79.32011186150068,167756710017409.6
56,80.84690685899373,161275709466968.88
57,82.37313456467594,152494231563017.47
58,83.9009932343144,151234582877884.03
59,85.4285682580474,148746414801064.53
60,86.95451231782415,139485369938037.52
61,88.48187460712809,136339697266797.05
62,90.00973327676654,135213489943193.16
63,91.53596098244871,127851102400911.16
64,93.06282689141815,123166929166433.23
65,94.59160741024928,125487161388181.16
66,96.11826058478964,120139882983001.23
67,97.64441737899544,113362935578109.69
68,99.17036143877222,106304888272583.62
69,100.08582859857135,101986272815905.77
