,Angle (degrees),Electron Density (m^-3)
0,-3.0701597335135915,7382962178770169.0
1,-1.540244631060709,7775799207402015.0
2,-0.0121023155168202,7775799207402015.0
3,1.516110911503425,7791940240947436.0
4,3.0434022893310058,7600439461253414.0
5,4.568779057296879,7009971461359634.0
6,6.09401400231004,6438617774225787.0
7,7.61910712437048,5889357078771700.0
8,9.144483892336352,5431820785944085.0
9,10.6707825094949,5146719069242586.0
10,12.198428444704277,5072551125634536.0
11,13.72586164548457,4968447160254934.0
12,15.25272755445399,4786414571032492.0
13,16.777607942085353,4350947344376757.0
14,18.30376473629118,4105515597797929.5
15,19.831623405929637,4071602791578591.0
16,21.358631137851773,3938729823348679.0
17,22.88570978125028,3818102253984705.5
18,24.413355716459648,3763080639466122.5
19,25.9396543336182,3565566621114448.0
20,27.46460563272592,3247899981322179.0
21,28.99168427612443,3148429771925804.0
22,30.518762919522928,3052005937914848.0
23,32.0449906252051,2885823920826794.5
24,33.57228200303268,2814899669124526.0
25,35.099786115289334,2762852743837192.0
26,36.624666502920704,2511488846255407.5
27,38.15046873974472,2345374797168914.5
28,39.67761829461959,2278264764927585.0
29,41.204767849494445,2213075004206556.0
30,42.73120828960572,2105631238442310.8
31,44.25615958871344,1918034463164968.0
32,45.782529117348346,1821134461091104.0
33,47.31067143289224,1821134461091104.0
34,48.83881374843613,1821134461091104.0
35,50.36667241807457,1806091337126007.5
36,51.89410561885487,1769024925102600.5
37,53.420616970442495,1686633452422533.2
38,54.946206472837446,1565308641436382.0
39,56.47385240804684,1542751411969351.5
40,58.00199472359073,1542751411969351.5
41,59.52971157027646,1523675548125582.2
42,61.05565563005321,1428810555065008.2
43,62.58124513244816,1326031750174535.5
44,64.10889106765752,1306922673742294.5
45,65.63703338320141,1306922673742294.5
46,67.1651756987453,1306922673742294.5
47,68.69331801428919,1306922673742294.5
48,70.22117668392767,1296127095374005.5
49,71.74669527484626,1200400829458406.2
50,73.27349027233932,1154025346560214.0
51,74.8016325878832,1154025346560214.0
52,76.3297749034271,1154025346560214.0
53,77.85749175011283,1139756015667079.2
54,79.38265578364962,1044690659212771.0
55,80.90923804671361,998102274141859.2
56,82.43738036225751,998102274141859.2
57,83.96566450075412,1002250303913632.0
58,85.49366499334529,998102274141859.2
59,87.0193254072166,928228489657259.4
60,88.54619131618601,894220311666758.8
61,90.0738372513954,881333950325370.5
62,91.6024759472738,894220311666758.8
63,93.12983823657775,874053864119407.8
64,94.65493135863817,799490743570093.0
65,96.1826482053239,789605173898677.9
66,97.71086143234416,791244239319426.2
67,99.23801098721904,768603752828486.9
68,100.1539036158763,746611096177025.8
