,Angle (degrees),Electron Density (m^-3)
0,-3.087107576363472,4497726462058882.5
1,-1.5581143231032684,4611051241333246.0
2,-0.0285537780321902,4806306510621329.0
3,1.4997303604644188,4826281119451335.0
4,3.026950826815636,4697914734144821.0
5,4.552327594781509,4332940007238085.0
6,5.9247837639784535,3983908525948196.0
7,7.144017960631949,3619576247884844.0
8,8.515711831458034,3254641984446538.0
9,10.040875864994833,2983177130451905.0
10,11.566323544437076,2757129483976319.5
11,13.092409427166537,2596213869967381.0
12,14.618495309896003,2444689847823229.0
13,16.144581192625473,2302009291755710.5
14,17.670454340925872,2154213029184577.0
15,19.1962565777499,2011729796815740.5
16,20.72205881457393,1878670642396136.8
17,22.24807378582704,1765360383309952.8
18,23.77387602265108,1648596511630517.5
19,25.299536436522388,1533183812611497.5
20,26.825055027440985,1419949576657810.0
21,28.35177911345768,1362264400659748.5
22,29.87914140276162,1331542627486958.0
23,31.404872728109297,1240896326339220.8
24,32.930816787886044,1163637344575106.0
25,34.457895431284555,1127999778457939.8
26,35.98391040253766,1059965528993537.8
27,37.50928717050354,977618221439563.6
28,39.034805761422135,905415624824256.4
29,40.56131711300975,863246333901186.5
30,42.0888212252664,847285083865197.2
31,43.61483619651952,796181878116384.2
32,45.13992931857996,728261801569409.5
33,46.66488061768767,663378851963683.2
34,48.190824677464434,622076469533589.0
35,49.718612435626525,615659939646900.2
36,51.24441467245056,574939167349792.5
37,52.77000417484551,533581997712809.6
38,54.29715372972037,518314201233916.9
39,55.824728753453385,509786701605650.9
40,57.35230377718639,501399499599437.1
41,58.87881512877402,478047062566561.25
42,60.40525556888528,454838099238586.6
43,61.93332697295283,453895900403569.3
44,63.46047652782768,440908224170732.0
45,64.98705879089167,421245750932886.8
46,66.51491746053011,417766133042805.2
47,68.04242157278678,410041721777797.25
48,69.56850745551624,386110268499078.8
49,71.09579883334382,376620922433913.0
50,72.62365750298227,373509919185624.1
51,74.14967247423537,350982018467378.6
52,75.67646747172846,337422413879010.4
53,77.2043261413669,334635202221093.9
54,78.73097931590725,320375675026001.5
55,80.25770340192395,307360475399778.25
56,81.78570389451512,306088397558897.5
57,83.31256980348454,294874015732658.0
58,84.83893933211944,279976841941070.3
59,86.36658526732882,275942173185058.1
60,87.89416029106184,271402269061928.5
61,89.42060073117311,258225814685304.53
62,90.94817575490612,253977386736589.38
63,92.47617624749726,252926246360350.28
64,94.002900333514,242651166684517.25
65,95.53004988838886,235708000228029.88
66,97.05904314164904,241646902320981.03
67,98.586405430953,236197283790674.25
68,99.80750105386092,226601814972831.44
