,Angle (degrees),Ion Energy (V)
0,-84.86577181208054,23.96866840731076
1,-79.42953020134229,28.90339425587473
2,-74.8993288590604,43.70757180156659
3,-69.76510067114094,53.57702349869459
4,-64.63087248322148,64.15143603133163
5,-59.79865771812081,77.54569190600529
6,-54.66442953020135,97.28459530026116
7,-50.13422818791947,118.43342036553528
8,-45.000000000000014,144.5169712793734
9,-39.86577181208054,164.25587467362925
10,-34.73154362416108,179.06005221932116
11,-29.59731543624163,192.45430809399485
12,-25.067114093959745,205.14360313315927
13,-19.932885906040283,215.0130548302872
14,-14.798657718120808,226.99738903394257
15,-9.966442953020149,224.177545691906
16,9.96644295302012,224.177545691906
17,15.100671140939582,226.2924281984334
18,20.23489932885903,215.0130548302872
19,25.06711409395973,205.14360313315927
20,29.899328859060404,191.74934725848567
21,34.73154362416105,179.06005221932116
22,39.86577181208054,163.55091383812015
23,44.69798657718118,145.22193211488252
24,50.13422818791943,119.1383812010444
25,54.66442953020132,97.28459530026116
26,59.49664429530199,76.84073107049613
27,64.93288590604024,64.15143603133163
28,69.76510067114091,53.57702349869459
29,74.89932885906038,43.70757180156659
30,79.42953020134226,28.19843342036557
31,84.56375838926172,23.96866840731076
32,89.69798657718118,20.44386422976504
