Anode Voltage (V),Anode flow rate (mg/s),Background pressure (torr),Thrust (mN),Percent uncertainty,Discharge current (A)
301,5.13,4.88E-05,80.1,0.01,4.88
301,4.71,4.88E-05,73.8,0.01,4.48
300,4.95,1.28E-05,77.5,0.01,4.25
300,4.94,1.80E-05,78,0.01,4.3
300,4.94,2.25E-05,81.4,0.01,4.37
300,4.94,2.93E-05,80.8,0.01,4.46
300,4.93,4.28E-05,84.3,0.01,4.72
300,4.93,4.88E-05,85.8,0.01,4.86
300,4.93,5.85E-05,87.6,0.01,5.05
300,4.93,1.28E-05,76.8,0.01,4.24
301,5.09,3.30E-06,72.6,0.01,4.52
301,5.12,1.20E-05,77.5,0.01,4.5
301,5.12,1.95E-05,79.5,0.01,4.52
300,5.12,2.48E-05,81,0.01,4.55
300,5.12,3.08E-05,82.8,0.01,4.59
300,5.04,4.20E-05,84.3,0.01,4.59
300,4.98,3.90E-05,82.7,0.01,4.51
300,5.12,3.90E-05,85.7,0.01,4.65
300,5.11,3.23E-06,73.9,0.01,4.57
301,5.15,3.38E-06,72.6,0.01,4.76
301,4.94,3.15E-06,69.2,0.01,4.52
301,4.72,3.08E-06,63.8,0.01,4.27
301,4.46,3.08E-06,61.5,0.01,3.98
301,3.99,2.85E-06,56.8,0.01,3.48
300,3.76,2.63E-06,55.2,0.01,3.26
301,3.46,2.48E-06,51.6,0.01,2.99
301,5.25,3.38E-06,90.1,0.01,4.75
301,4.99,3.23E-06,84.9,0.01,4.49
301,4.76,3.15E-06,80,0.01,4.26
301,4.52,3.00E-06,75.1,0.01,4
301,4.25,2.93E-06,70.1,0.01,3.76
301,3.95,2.78E-06,64.4,0.01,3.49
301,3.71,2.63E-06,59.5,0.01,3.27
299,4.94,1.20E-05,85.4,0.01,4.51
300,4.93,1.88E-05,86.1,0.01,4.54
300,4.92,2.10E-05,86.3,0.01,4.55
300,4.93,2.25E-05,86.2,0.01,4.58
300,4.92,2.40E-05,87,0.01,4.57
300,4.92,2.63E-05,86.9,0.01,4.6
299,5.19,1.20E-05,88.7,0.01,4.76
299,4.92,1.20E-05,84,0.01,4.46
300,4.46,1.13E-05,75.3,0.01,4
300,3.93,1.05E-05,64.9,0.01,3.5
300,3.52,1.05E-05,50.2,0.01,3.23
300,4.92,1.20E-05,84,0.01,4.47
300,4.92,1.28E-05,72.2,0.01,4.44
299,4.97,1.20E-05,81.3,0.01,4.49
299,4.97,1.20E-05,83.5,0.01,4.5
300,4.96,1.20E-05,83.8,0.01,4.5
299,4.97,1.20E-05,85.2,0.01,4.53
300,4.96,1.20E-05,86.8,0.01,4.58
300,4.86,1.20E-05,84.5,0.01,4.48
300,4.85,1.28E-05,84.2,0.01,4.53
