,Angle,Current Density
0,-89.72144975470948,0.0034986447188725023
1,-84.66098171638689,0.004608559598601894
2,-79.62914106317535,0.006272189175369653
3,-74.60974629018841,0.009090643096581195
4,-69.58400250577168,0.011644222173622753
5,-64.67387756107625,0.013705889430219364
6,-59.52950751047149,0.01801874493193622
7,-54.62472910171694,0.023534679888789444
8,-49.605668487226296,0.03433269876085586
9,-44.70423166343477,0.04785569047950064
10,-39.68350025646261,0.06757908251433513
11,-34.65909310603111,0.0888433490500686
12,-29.754983014269158,0.11755931762463928
13,-24.614288707123748,0.16601236808798134
14,-19.59389145864789,0.23596268956159921
15,-14.69646453681203,0.3555979466249285
16,-9.919000515149392,0.5358836018192366
17,-9.805052467909633,0.6024354860518113
18,-5.256487016215445,0.7325110469450454
19,-0.2217209523985133,0.7871852769256384
20,4.579802480998026,0.7427567512340223
21,4.58113911498323,0.7236854710153866
22,9.629271518652317,0.5995771789501431
23,9.634952213089505,0.5368264285953829
24,14.694111847136682,0.35886483661659396
25,19.753271481183802,0.23989871604648916
26,24.69012910558361,0.16783772249841677
27,29.746949630156635,0.11742374176801121
28,34.91905483595464,0.08998405841867499
29,39.85156839990246,0.06850806202412242
30,44.788760182798526,0.04761887683924958
31,49.84324159789743,0.034867017957234875
32,54.90139875645566,0.023767548494802417
33,59.953875220576734,0.018095274595243342
34,65.12598042637474,0.013866754897806532
35,69.81322165403519,0.011714630508593338
36,74.98399022584799,0.009213720012372837
37,80.04214738440625,0.006280650025195608
38,84.85570052366974,0.004689250682925076
39,90.14810278813728,0.0035702087221423755
