Anode Voltage (V),Total flow rate (mg/s),Anode-cathode flow ratio,Background pressure (torr),Thrust (mN),Percent uncertainty
300,5.657,12,4.00E-06,80.051,0.007
300,5.65,12,5.20E-06,80.128,0.007
300,5.628,12,8.04E-06,81.506,0.007
300,5.58,12,1.44E-05,82.548,0.007
300,5.5,12,2.22E-05,82.643,0.007
300,5.337,12,4.22E-05,83.113,0.007
300,5.197,12,6.17E-05,83.041,0.007
