2.388059701492542541e-04,1.270040153019021990e-03
9.552238805970152818e-04,1.467461349175922967e-03
2.746268656716416984e-03,2.067189012334129470e-03
4.537313432835820420e-03,2.835829305335174459e-03
6.208955223880596730e-03,3.719108218138540266e-03
7.641791044776118785e-03,4.606722945787747325e-03
8.716417910447762929e-03,5.348984422672733823e-03
9.791044776119403603e-03,6.151849038555006442e-03
1.098507462686567140e-02,7.106028751421144402e-03
1.182089552238806129e-02,7.805795179397711017e-03
1.229850746268656633e-02,8.214857910454315126e-03
1.313432835820895275e-02,8.942316376541201497e-03
1.385074626865671552e-02,9.572823024272147929e-03
1.432835820895522402e-02,9.994090166874651862e-03
1.504477611940298679e-02,1.062338605711241751e-02
1.540298507462686470e-02,1.093533261906737448e-02
1.600000000000000033e-02,1.144872051610721503e-02
1.689552238805970552e-02,1.219679480046658576e-02
1.791044776119403090e-02,1.299930034645005276e-02
1.910447761194029870e-02,1.385940403645397924e-02
2.041791044776119363e-02,1.467037674594460876e-02
2.185074626865671915e-02,1.535753267191714705e-02
2.304477611940298348e-02,1.574923217126958375e-02
2.370149253731342748e-02,1.588890834581971334e-02
2.471641791044776326e-02,1.599468393778213926e-02
2.543283582089552602e-02,1.599537482054269599e-02
2.650746268656716670e-02,1.594398854724157419e-02
2.746268656716417678e-02,1.585094982194535512e-02
2.865671641791045499e-02,1.567322081881417431e-02
3.044776119402985148e-02,1.528373486295277889e-02
3.247761194029850917e-02,1.467727875824350291e-02
3.402985074626865836e-02,1.410822780888086082e-02
3.516417910447761086e-02,1.364207656132515774e-02
3.617910447761193971e-02,1.319357694221467113e-02
3.773134328358208889e-02,1.245913770458390024e-02
3.880597014925372262e-02,1.192271607368333534e-02
4.023880597014925509e-02,1.118107549748052071e-02
4.167164179104478061e-02,1.041933642895698231e-02
4.298507462686566860e-02,9.712537394814098335e-03
4.513432835820895689e-02,8.559014472546092739e-03
4.692537313432836033e-02,7.619675655572734352e-03
4.883582089552239436e-02,6.658003411988738275e-03
5.062686567164179086e-02,5.807248414778583973e-03
5.265671641791044855e-02,4.914533344864829845e-03
5.456716417910448258e-02,4.151576363180175741e-03
5.707462686567163490e-02,3.270564695085345294e-03
5.898507462686568281e-02,2.691783551058730007e-03
6.137313432835821148e-02,2.076979121290948704e-03
6.435820895522387231e-02,1.465286432622717487e-03
6.698507462686567604e-02,1.053692779239740179e-03
6.985074626865672709e-02,7.176911394078400999e-04
7.271641791044776426e-02,4.765994944840448787e-04
7.582089552238806263e-02,2.972572662202792098e-04
7.976119402985075435e-02,1.564261742337102329e-04
8.429850746268656436e-02,7.038182556168168192e-05
8.811940298507463243e-02,3.419586575717889254e-05
9.170149253731343930e-02,1.668425983528284862e-05
9.504477611940298498e-02,8.239491733736346101e-06
